BInsertSort : comps[1], swaps[4]
BInsertSort : comps[5], swaps[19]
BInsertSort : comps[12], swaps[33]
BInsertSort : comps[23], swaps[50]
BInsertSort : comps[35], swaps[60]
BInsertSort : comps[53], swaps[91]
BInsertSort : comps[67], swaps[116]
BInsertSort : comps[79], swaps[135]
BInsertSort : comps[92], swaps[130]
BInsertSort : comps[119], swaps[192]
BInsertSort : comps[119], swaps[203]
BInsertSort : comps[147], swaps[264]
BInsertSort : comps[175], swaps[288]
BInsertSort : comps[184], swaps[372]
BInsertSort : comps[204], swaps[389]
BInsertSort : comps[230], swaps[431]
BInsertSort : comps[227], swaps[451]
BInsertSort : comps[260], swaps[483]
BInsertSort : comps[267], swaps[517]
BInsertSort : comps[294], swaps[697]
BInsertSort : comps[320], swaps[663]
BInsertSort : comps[335], swaps[726]
BInsertSort : comps[354], swaps[766]
BInsertSort : comps[368], swaps[851]
BInsertSort : comps[386], swaps[883]
BInsertSort : comps[430], swaps[910]
BInsertSort : comps[440], swaps[1062]
BInsertSort : comps[467], swaps[1008]
BInsertSort : comps[469], swaps[979]
BInsertSort : comps[468], swaps[1258]
BInsertSort : comps[527], swaps[1268]
BInsertSort : comps[550], swaps[1464]
BInsertSort : comps[567], swaps[1547]
BInsertSort : comps[600], swaps[1454]
BInsertSort : comps[600], swaps[1550]
BInsertSort : comps[595], swaps[1789]
BInsertSort : comps[655], swaps[1829]
BInsertSort : comps[671], swaps[1989]
BInsertSort : comps[696], swaps[1789]
BInsertSort : comps[692], swaps[2029]
BInsertSort : comps[723], swaps[2211]
BInsertSort : comps[767], swaps[2101]
BInsertSort : comps[753], swaps[2232]
BInsertSort : comps[772], swaps[2626]
BInsertSort : comps[827], swaps[2451]
BInsertSort : comps[854], swaps[2544]
BInsertSort : comps[844], swaps[2809]
BInsertSort : comps[849], swaps[2717]
BInsertSort : comps[882], swaps[2979]
BInsertSort : comps[910], swaps[3172]
BubbleSort : comps[1], swaps[4]
BubbleSort : comps[5], swaps[14]
BubbleSort : comps[12], swaps[21]
BubbleSort : comps[25], swaps[55]
BubbleSort : comps[45], swaps[110]
BubbleSort : comps[66], swaps[114]
BubbleSort : comps[81], swaps[187]
BubbleSort : comps[120], swaps[269]
BubbleSort : comps[152], swaps[234]
BubbleSort : comps[190], swaps[403]
BubbleSort : comps[186], swaps[341]
BubbleSort : comps[231], swaps[435]
BubbleSort : comps[322], swaps[469]
BubbleSort : comps[368], swaps[638]
BubbleSort : comps[407], swaps[744]
BubbleSort : comps[493], swaps[628]
BubbleSort : comps[506], swaps[1043]
BubbleSort : comps[615], swaps[876]
BubbleSort : comps[648], swaps[1024]
BubbleSort : comps[770], swaps[1253]
BubbleSort : comps[783], swaps[1380]
BubbleSort : comps[931], swaps[1750]
BubbleSort : comps[1034], swaps[1445]
BubbleSort : comps[1062], swaps[1587]
BubbleSort : comps[1215], swaps[1738]
BubbleSort : comps[1305], swaps[1925]
BubbleSort : comps[1295], swaps[1887]
BubbleSort : comps[1512], swaps[2158]
BubbleSort : comps[1643], swaps[2381]
BubbleSort : comps[1704], swaps[2760]
BubbleSort : comps[1836], swaps[2659]
BubbleSort : comps[2015], swaps[3128]
BubbleSort : comps[2109], swaps[3351]
BubbleSort : comps[2250], swaps[3670]
BubbleSort : comps[2387], swaps[3782]
BubbleSort : comps[2556], swaps[4689]
BubbleSort : comps[2673], swaps[3790]
BubbleSort : comps[2850], swaps[4721]
BubbleSort : comps[2832], swaps[4728]
BubbleSort : comps[3124], swaps[4777]
BubbleSort : comps[3243], swaps[5096]
BubbleSort : comps[3485], swaps[6015]
BubbleSort : comps[3564], swaps[5914]
BubbleSort : comps[3800], swaps[6386]
