BubbleSort : comps[1], swaps[4]
BubbleSort : comps[6], swaps[17]
BubbleSort : comps[12], swaps[27]
BubbleSort : comps[25], swaps[58]
BubbleSort : comps[44], swaps[65]
BubbleSort : comps[63], swaps[147]
BubbleSort : comps[81], swaps[103]
BubbleSort : comps[119], swaps[179]
BubbleSort : comps[132], swaps[177]
BubbleSort : comps[154], swaps[307]
BubbleSort : comps[221], swaps[344]
BubbleSort : comps[273], swaps[456]
BubbleSort : comps[304], swaps[466]
BubbleSort : comps[312], swaps[473]
BubbleSort : comps[425], swaps[648]
BubbleSort : comps[493], swaps[841]
BubbleSort : comps[558], swaps[1025]
BubbleSort : comps[629], swaps[1272]
BubbleSort : comps[637], swaps[1111]
BubbleSort : comps[752], swaps[1274]
BubbleSort : comps[860], swaps[1389]
BubbleSort : comps[901], swaps[1474]
BubbleSort : comps[980], swaps[1625]
BubbleSort : comps[1122], swaps[1605]
BubbleSort : comps[1189], swaps[1723]
BubbleSort : comps[1290], swaps[1745]
BubbleSort : comps[1428], swaps[2289]
BubbleSort : comps[1512], swaps[2629]
BubbleSort : comps[1647], swaps[2582]
BubbleSort : comps[1725], swaps[2688]
BubbleSort : comps[1846], swaps[3127]
BubbleSort : comps[2016], swaps[3572]
BubbleSort : comps[2109], swaps[2994]
BubbleSort : comps[2263], swaps[4072]
BubbleSort : comps[2415], swaps[4025]
BubbleSort : comps[2546], swaps[3837]
BubbleSort : comps[2680], swaps[4393]
BubbleSort : comps[2640], swaps[4232]
BubbleSort : comps[3000], swaps[5469]
BubbleSort : comps[2950], swaps[4759]
BubbleSort : comps[3285], swaps[4415]
BubbleSort : comps[3476], swaps[5757]
BubbleSort : comps[3652], swaps[5743]
BubbleSort : comps[3762], swaps[5810]
BubbleSort : comps[3984], swaps[5205]
BubbleSort : comps[4158], swaps[6328]
BubbleSort : comps[4335], swaps[6584]
BubbleSort : comps[4554], swaps[7905]
BubbleSort : comps[4717], swaps[7396]
BubbleSort : comps[4872], swaps[7523]
InsertSort : comps[1], swaps[4]
InsertSort : comps[6], swaps[16]
InsertSort : comps[10], swaps[30]
InsertSort : comps[19], swaps[46]
InsertSort : comps[29], swaps[65]
InsertSort : comps[49], swaps[75]
InsertSort : comps[65], swaps[96]
InsertSort : comps[84], swaps[118]
InsertSort : comps[100], swaps[147]
InsertSort : comps[116], swaps[183]
InsertSort : comps[125], swaps[218]
InsertSort : comps[138], swaps[274]
InsertSort : comps[170], swaps[300]
InsertSort : comps[242], swaps[290]
InsertSort : comps[251], swaps[356]
InsertSort : comps[276], swaps[395]
InsertSort : comps[352], swaps[408]
InsertSort : comps[378], swaps[457]
InsertSort : comps[388], swaps[532]
InsertSort : comps[316], swaps[687]
InsertSort : comps[498], swaps[592]
InsertSort : comps[516], swaps[683]
InsertSort : comps[454], swaps[837]
InsertSort : comps[534], swaps[871]
InsertSort : comps[698], swaps[819]
InsertSort : comps[727], swaps[897]
InsertSort : comps[761], swaps[986]
InsertSort : comps[831], swaps[1016]
InsertSort : comps[878], swaps[1109]
InsertSort : comps[925], swaps[1191]
