BubbleSort : comps[1], swaps[7]
BubbleSort : comps[6], swaps[20]
BubbleSort : comps[15], swaps[33]
BubbleSort : comps[18], swaps[34]
BubbleSort : comps[45], swaps[83]
BubbleSort : comps[65], swaps[114]
BubbleSort : comps[91], swaps[202]
BubbleSort : comps[119], swaps[203]
BubbleSort : comps[153], swaps[243]
BubbleSort : comps[175], swaps[331]
BubbleSort : comps[210], swaps[383]
BubbleSort : comps[275], swaps[453]
BubbleSort : comps[304], swaps[520]
BubbleSort : comps[378], swaps[677]
BubbleSort : comps[399], swaps[702]
BubbleSort : comps[451], swaps[859]
BubbleSort : comps[540], swaps[968]
BubbleSort : comps[629], swaps[1083]
BubbleSort : comps[675], swaps[1003]
BubbleSort : comps[752], swaps[1106]
BubbleSort : comps[840], swaps[1323]
BubbleSort : comps[925], swaps[1546]
BubbleSort : comps[957], swaps[1373]
BubbleSort : comps[1127], swaps[1917]
BubbleSort : comps[1204], swaps[2140]
BubbleSort : comps[1281], swaps[1775]
BubbleSort : comps[1365], swaps[1950]
BubbleSort : comps[1512], swaps[2425]
BubbleSort : comps[1608], swaps[2417]
BubbleSort : comps[1692], swaps[2676]
BubbleSort : comps[1885], swaps[2878]
BubbleSort : comps[2010], swaps[3251]
BubbleSort : comps[2139], swaps[3597]
BubbleSort : comps[2242], swaps[3901]
BubbleSort : comps[2394], swaps[4316]
BubbleSort : comps[2546], swaps[3624]
BubbleSort : comps[2695], swaps[4591]
BubbleSort : comps[2822], swaps[5045]
BubbleSort : comps[2958], swaps[4536]
BubbleSort : comps[3157], swaps[5014]
BubbleSort : comps[3293], swaps[4718]
BubbleSort : comps[3381], swaps[5730]
BubbleSort : comps[3634], swaps[5449]
BubbleSort : comps[3813], swaps[5621]
BubbleSort : comps[3885], swaps[5967]
BubbleSort : comps[4158], swaps[7156]
BubbleSort : comps[4343], swaps[6503]
BubbleSort : comps[4505], swaps[6174]
BubbleSort : comps[4522], swaps[7264]
BubbleSort : comps[4872], swaps[7556]
BubbleSort : comps[5031], swaps[8460]
BubbleSort : comps[5251], swaps[8131]
BubbleSort : comps[5499], swaps[8717]
BubbleSort : comps[5757], swaps[8394]
BubbleSort : comps[5917], swaps[8542]
BubbleSort : comps[6201], swaps[8714]
BubbleSort : comps[6420], swaps[9933]
BubbleSort : comps[6615], swaps[10306]
BubbleSort : comps[6848], swaps[9983]
BubbleSort : comps[7085], swaps[12621]
BubbleSort : comps[7345], swaps[10897]
BubbleSort : comps[7521], swaps[12380]
BubbleSort : comps[7797], swaps[12276]
BubbleSort : comps[8100], swaps[11917]
BubbleSort : comps[8364], swaps[12344]
BubbleSort : comps[8618], swaps[13230]
BubbleSort : comps[8740], swaps[15130]
BubbleSort : comps[8990], swaps[13850]
BubbleSort : comps[9018], swaps[14325]
BubbleSort : comps[9685], swaps[14395]
BubbleSort : comps[9546], swaps[14624]
BubbleSort : comps[10020], swaps[15336]
BubbleSort : comps[10579], swaps[15622]
BubbleSort : comps[10812], swaps[15962]
BubbleSort : comps[10875], swaps[18114]
BubbleSort : comps[11385], swaps[16945]
BubbleSort : comps[11766], swaps[18329]
BubbleSort : comps[12069], swaps[17472]
BubbleSort : comps[12213], swaps[17701]
BubbleSort : comps[12684], swaps[20120]
BubbleSort : comps[12975], swaps[18687]
BubbleSort : comps[13345], swaps[19669]
BubbleSort : comps[13524], swaps[21755]
BubbleSort : comps[13937], swaps[20736]
BubbleSort : comps[14337], swaps[22327]
BubbleSort : comps[14535], swaps[23300]
BubbleSort : comps[14820], swaps[22188]
BubbleSort : comps[15322], swaps[24265]
BubbleSort : comps[15698], swaps[23123]
BubbleSort : comps[16005], swaps[24261]
BubbleSort : comps[16240], swaps[23941]
BubbleSort : comps[16716], swaps[26003]
BubbleSort : comps[17150], swaps[24852]
BubbleSort : comps[17442], swaps[25960]
BubbleSort : comps[17900], swaps[28127]
BubbleSort : comps[18165], swaps[25581]
BubbleSort : comps[18715], swaps[27862]
BubbleSort : comps[19005], swaps[29729]
BubbleSort : comps[19398], swaps[28431]
BubbleSort : comps[19039], swaps[31735]
BubbleSort : comps[20223], swaps[30350]
BubbleSort : comps[20453], swaps[30645]
BubbleSort : comps[20862], swaps[31000]
BubbleSort : comps[21297], swaps[32159]
BubbleSort : comps[21567], swaps[31179]
BubbleSort : comps[22360], swaps[33430]
BubbleSort : comps[22790], swaps[35222]
BubbleSort : comps[22895], swaps[35499]
BubbleSort : comps[23400], swaps[34498]
BubbleSort : comps[23999], swaps[38900]
BubbleSort : comps[24525], swaps[36267]
BubbleSort : comps[24570], swaps[40561]
BubbleSort : comps[25359], swaps[40826]
BubbleSort : comps[25812], swaps[40734]
BubbleSort : comps[26035], swaps[40093]
BubbleSort : comps[26760], swaps[38645]
BubbleSort : comps[27195], swaps[39816]
BubbleSort : comps[27027], swaps[43681]
BubbleSort : comps[27675], swaps[44702]
BubbleSort : comps[28659], swaps[41688]
BubbleSort : comps[29116], swaps[44719]
BubbleSort : comps[29625], swaps[44417]
BubbleSort : comps[29757], swaps[45561]
BubbleSort : comps[30550], swaps[46765]
BubbleSort : comps[30774], swaps[45641]
BubbleSort : comps[31490], swaps[51105]
BubbleSort : comps[32110], swaps[47599]
BubbleSort : comps[32520], swaps[49007]
BubbleSort : comps[32853], swaps[49446]
BubbleSort : comps[33480], swaps[52672]
BubbleSort : comps[34163], swaps[50564]
BubbleSort : comps[34545], swaps[51132]
BubbleSort : comps[34894], swaps[53755]
BubbleSort : comps[35700], swaps[52478]
BubbleSort : comps[36270], swaps[53043]
BubbleSort : comps[36328], swaps[53890]
BubbleSort : comps[36498], swaps[52940]
BubbleSort : comps[37872], swaps[57213]
BubbleSort : comps[38038], swaps[58117]
BubbleSort : comps[38280], swaps[58148]
BubbleSort : comps[39125], swaps[55002]
BubbleSort : comps[39808], swaps[61543]
BubbleSort : comps[40689], swaps[65354]
BubbleSort : comps[41208], swaps[62412]
BubbleSort : comps[41440], swaps[64723]
BubbleSort : comps[42021], swaps[65552]
BubbleSort : comps[43070], swaps[64533]
BubbleSort : comps[43429], swaps[70135]
BubbleSort : comps[43263], swaps[64010]
BubbleSort : comps[44444], swaps[66084]
BubbleSort : comps[45415], swaps[71671]
BubbleSort : comps[45825], swaps[66998]
